invoice_id,invoice_record_index,evaluation_split,decision,known_violation,requires_review,expected_total_cents,billed_total_cents,violations,uncertainty
INV-H1-000051,51,development,correct,False,False,1504500,1504500,,
INV-H1-000052,52,development,review,False,True,,5011000,,volume_discount_uncertain
INV-H1-000053,53,held_aside,review,False,True,,4593070,,volume_discount_uncertain
INV-H1-000054,54,development,correct,False,False,735320,735320,,
INV-H1-000055,55,development,correct,False,False,2246625,2246625,,
INV-H1-000056,56,held_aside,correct,False,False,4406950,4406950,,
INV-H1-000057,57,development,review,False,True,,5416708,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000058,58,development,review,False,True,,6086853,,volume_discount_uncertain
INV-H1-000059,59,development,correct,False,False,2717295,2717295,,
INV-H1-000060,60,held_aside,review,False,True,,4774375,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000061,61,development,review,False,True,,3528885,,service_match_unresolved|volume_discount_uncertain
INV-H1-000062,62,held_aside,review,False,True,,2191605,,volume_discount_uncertain
INV-H1-000063,63,held_aside,review,False,True,,4216210,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000064,64,held_aside,review,False,True,,2719375,,volume_discount_uncertain
INV-H1-000065,65,development,review,False,True,,4163140,,volume_discount_uncertain
INV-H1-000066,66,held_aside,review,False,True,,2090085,,volume_discount_uncertain
INV-H1-000067,67,development,review,False,True,,3920858,,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000068,68,development,erroneous,True,True,,2123825,invoice_arithmetic|invoice_identifier|record_join|service_date,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000069,69,development,erroneous,True,True,,1712345,invoice_arithmetic|line_amount|line_arithmetic|service_date,delivered_quantity_or_duplicate_identity_uncertain|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000070,70,development,review,False,True,,3435390,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000071,71,development,review,False,True,,4095286,,service_match_unresolved|volume_discount_uncertain
INV-H1-000072,72,development,erroneous,True,True,,1094973,line_amount|service_date|unit_price,invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review
INV-H1-000073,73,development,review,False,True,,998330,,volume_discount_uncertain
INV-H1-000074,74,development,review,False,True,,2893525,,service_match_unresolved
INV-H1-000075,75,held_aside,review,False,True,,6543958,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H1-000076,76,held_aside,review,False,True,,5202589,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000077,77,development,review,False,True,,2125563,,service_match_unresolved|volume_discount_uncertain
INV-H1-000078,78,development,review,False,True,,4555925,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H1-000079,79,held_aside,review,False,True,,917295,,volume_discount_uncertain
INV-H1-000080,80,development,correct,False,False,1774490,1774490,,
INV-H1-000081,81,development,review,False,True,,2222295,,volume_discount_uncertain
INV-H1-000082,82,development,review,False,True,,3250327,,volume_discount_uncertain
INV-H1-000083,83,held_aside,correct,False,False,1732620,1732620,,
INV-H1-000084,84,held_aside,review,False,True,,1691000,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000085,85,development,review,False,True,,2377573,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000086,86,development,review,False,True,,2623517,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000087,87,development,review,False,True,,3649802,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review
INV-H1-000088,88,held_aside,review,False,True,,2198135,,service_match_unresolved|volume_discount_uncertain
INV-H1-000089,89,development,review,False,True,,5768078,,volume_discount_uncertain
INV-H1-000090,90,development,correct,False,False,5789172,5789172,,
INV-H1-000091,91,development,review,False,True,,4143318,,volume_discount_uncertain
INV-H1-000092,92,held_aside,review,False,True,,4326055,,volume_discount_uncertain
INV-H1-000093,93,development,review,False,True,,1480030,,volume_discount_uncertain
INV-H1-000094,94,development,review,False,True,,6420201,,volume_discount_uncertain
INV-H1-000095,95,development,review,False,True,,3862246,,volume_discount_uncertain
INV-H1-000096,96,development,review,False,True,,3535769,,volume_discount_uncertain
INV-H1-000097,97,development,review,False,True,,1908619,,volume_discount_uncertain
INV-H1-000098,98,development,correct,False,False,1485218,1485218,,
INV-H1-000099,99,held_aside,review,False,True,,2059682,,volume_discount_uncertain
INV-H1-000100,100,development,review,False,True,,2752722,,volume_discount_uncertain
INV-H1-000101,101,held_aside,correct,False,False,1653025,1653025,,
INV-H1-000102,102,held_aside,erroneous,True,True,,2736250,unit_price,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000103,103,held_aside,review,False,True,,1299446,,volume_discount_uncertain
INV-H1-000104,104,development,review,False,True,,4209755,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000105,105,development,review,False,True,,803700,,service_match_unresolved
INV-H1-000106,106,development,review,False,True,,4038195,,service_match_unresolved|volume_discount_uncertain
INV-H1-000107,107,development,review,False,True,,2969100,,service_match_unresolved
INV-H1-000108,108,development,review,False,True,,1088200,,service_match_unresolved
INV-H1-000109,109,development,review,False,True,,4890475,,service_match_unresolved|volume_discount_uncertain
INV-H1-000110,110,held_aside,review,False,True,,4316920,,service_match_unresolved|volume_discount_uncertain
INV-H1-000111,111,development,correct,False,False,3071279,3071279,,
INV-H1-000112,112,development,review,False,True,,1462370,,volume_discount_uncertain
INV-H1-000113,113,held_aside,correct,False,False,2172980,2172980,,
INV-H1-000114,114,development,review,False,True,,1878330,,volume_discount_uncertain
INV-H1-000115,115,development,review,False,True,,3220280,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000116,116,development,review,False,True,,2979088,,delivered_quantity_or_duplicate_identity_uncertain|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000117,117,development,review,False,True,,1754196,,volume_discount_uncertain
INV-H1-000118,118,development,correct,False,False,2313500,2313500,,
INV-H1-000119,119,development,review,False,True,,4726611,,service_match_unresolved
INV-H1-000120,120,held_aside,correct,False,False,1120950,1120950,,
INV-H1-000121,121,development,review,False,True,,3190886,,volume_discount_uncertain
INV-H1-000122,122,held_aside,correct,False,False,1717175,1717175,,
INV-H1-000123,123,development,review,False,True,,6219545,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000124,124,held_aside,review,False,True,,3563879,,volume_discount_uncertain
INV-H1-000125,125,development,review,False,True,,3707573,,volume_discount_uncertain
INV-H1-000126,126,development,correct,False,False,2743654,2743654,,
INV-H1-000127,127,development,review,False,True,,3450277,,volume_discount_uncertain
INV-H1-000128,128,held_aside,review,False,True,,3552483,,volume_discount_uncertain
INV-H1-000129,129,development,correct,False,False,1630054,1630054,,
INV-H1-000130,130,development,correct,False,False,5103553,5103553,,
INV-H1-000131,131,development,review,False,True,,952625,,service_match_unresolved
INV-H1-000132,132,development,erroneous,True,True,,2536783,unit_price,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000133,133,development,review,False,True,,1524655,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review
INV-H1-000134,134,development,review,False,True,,4346902,,volume_discount_uncertain
INV-H1-000135,135,held_aside,review,False,True,,2124065,,service_match_unresolved
INV-H1-000136,136,development,correct,False,False,2295200,2295200,,
INV-H1-000137,137,held_aside,review,False,True,,5091453,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000138,138,held_aside,review,False,True,,3902623,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000139,139,held_aside,review,False,True,,2570288,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000140,140,development,review,False,True,,1375954,,volume_discount_uncertain
INV-H1-000141,141,development,review,False,True,,2651411,,volume_discount_uncertain
INV-H1-000142,142,development,review,False,True,,2105775,,volume_discount_uncertain
INV-H1-000143,143,development,review,False,True,,3916797,,volume_discount_uncertain
INV-H1-000144,144,held_aside,review,False,True,,5591925,,service_match_unresolved|volume_discount_uncertain
INV-H1-000145,145,held_aside,review,False,True,,3707925,,volume_discount_uncertain
INV-H1-000146,146,development,review,False,True,,2709500,,volume_discount_uncertain
INV-H1-000147,147,development,review,False,True,,2235997,,volume_discount_uncertain
INV-H1-000148,148,held_aside,erroneous,True,True,,1322429,service_date,delivered_quantity_or_duplicate_identity_uncertain|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000149,149,held_aside,review,False,True,,1367397,,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000150,150,development,review,False,True,,4188767,,volume_discount_uncertain
INV-H1-000151,151,development,erroneous,True,True,,2953392,line_amount|unit_price,volume_discount_uncertain
INV-H1-000152,152,development,erroneous,True,True,,3899160,invoice_arithmetic|invoice_identifier|record_join|service_date,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000153,153,development,review,False,True,,4539542,,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000154,154,held_aside,review,False,True,,2210575,,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review
INV-H1-000068,155,development,erroneous,True,True,,2182165,invoice_arithmetic|invoice_identifier|record_join|service_date,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000156,156,development,review,False,True,,3777759,,volume_discount_uncertain
INV-H1-000157,157,development,correct,False,False,2645175,2645175,,
INV-H1-000158,158,development,review,False,True,,3821275,,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000159,159,development,review,False,True,,2987202,,service_match_unresolved|volume_discount_uncertain
INV-H1-000160,160,held_aside,review,False,True,,3094372,,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000161,161,development,review,False,True,,4172207,,service_match_unresolved|volume_discount_uncertain
INV-H1-000162,162,development,review,False,True,,3728407,,volume_discount_uncertain
INV-H1-000163,163,held_aside,review,False,True,,1275816,,volume_discount_uncertain
INV-H1-000164,164,development,correct,False,False,4678900,4678900,,
INV-H1-000165,165,development,review,False,True,,2989711,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000166,166,development,correct,False,False,2630702,2630702,,
INV-H1-000167,167,development,review,False,True,,4403102,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000168,168,development,correct,False,False,1048375,1048375,,
INV-H1-000169,169,development,review,False,True,,3072015,,service_match_unresolved
INV-H1-000170,170,development,review,False,True,,3948137,,volume_discount_uncertain
INV-H1-000171,171,development,review,False,True,,1489231,,volume_discount_uncertain
INV-H1-000172,172,development,review,False,True,,4389721,,service_match_unresolved|volume_discount_uncertain
INV-H1-000173,173,held_aside,review,False,True,,2077822,,volume_discount_uncertain
INV-H1-000174,174,development,review,False,True,,2182558,,volume_discount_uncertain
INV-H1-000175,175,held_aside,review,False,True,,3583250,,volume_discount_uncertain
INV-H1-000176,176,development,review,False,True,,878150,,service_match_unresolved
INV-H1-000177,177,development,review,False,True,,3040275,,service_match_unresolved
INV-H1-000178,178,development,review,False,True,,1634893,,service_match_unresolved|volume_discount_uncertain
INV-H1-000179,179,development,erroneous,True,True,,2029698,service_date,delivered_quantity_or_duplicate_identity_uncertain|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H1-000180,180,development,review,False,True,,2668790,,service_match_unresolved|volume_discount_uncertain
INV-H1-000181,181,development,review,False,True,,3427391,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000182,182,development,review,False,True,,3604488,,service_match_unresolved|volume_discount_uncertain
INV-H1-000183,183,development,review,False,True,,2300536,,exclusion_presence_uncertain|retention_or_payable_quantity_requires_review
INV-H1-000184,184,development,review,False,True,,1557865,,volume_discount_uncertain
INV-H1-000185,185,development,correct,False,False,1699725,1699725,,
INV-H1-000186,186,development,erroneous,True,True,,1980198,line_amount|line_arithmetic,volume_discount_uncertain
INV-H1-000187,187,development,review,False,True,,4412373,,service_match_unresolved
INV-H1-000188,188,development,review,False,True,,4634848,,volume_discount_uncertain
INV-H1-000152,189,development,erroneous,True,True,,1322245,contract_number|invoice_arithmetic|invoice_identifier|record_join|service_date,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000190,190,development,review,False,True,,1525575,,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review
INV-H1-000191,191,held_aside,review,False,True,,1850955,,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review
INV-H1-000192,192,development,review,False,True,,2836106,,volume_discount_uncertain
INV-H1-000193,193,development,correct,False,False,1199225,1199225,,
INV-H1-000194,194,development,review,False,True,,3257237,,volume_discount_uncertain
INV-H1-000195,195,held_aside,correct,False,False,1936050,1936050,,
INV-H1-000196,196,development,review,False,True,,4653710,,delivered_quantity_or_duplicate_identity_uncertain|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000197,197,held_aside,review,False,True,,4641876,,volume_discount_uncertain
INV-H1-000198,198,development,review,False,True,,1574800,,volume_discount_uncertain
INV-H1-000199,199,development,review,False,True,,3109476,,volume_discount_uncertain
INV-H1-000200,200,development,correct,False,False,391940,391940,,
INV-H1-000201,201,held_aside,erroneous,True,False,2958995,3064595,contract_number|invoice_amount|line_amount|unit_price,
INV-H1-000202,202,development,review,False,True,,1151081,,volume_discount_uncertain
INV-H1-000203,203,development,review,False,True,,1769315,,service_match_unresolved
INV-H1-000204,204,development,review,False,True,,5363858,,volume_discount_uncertain
INV-H1-000205,205,development,correct,False,False,2828080,2828080,,
INV-H1-000206,206,development,correct,False,False,3922525,3922525,,
INV-H1-000207,207,development,review,False,True,,4418544,,volume_discount_uncertain
INV-H1-000208,208,held_aside,review,False,True,,4283675,,volume_discount_uncertain
INV-H1-000209,209,development,correct,False,False,2770297,2770297,,
INV-H1-000210,210,development,review,False,True,,2813386,,volume_discount_uncertain
INV-H1-000211,211,held_aside,erroneous,True,True,,1567925,exclusion_window|line_amount|unit_basis,contract_quantity_unknown_due_to_unit_mismatch|delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review
INV-H1-000212,212,development,correct,False,False,3871775,3871775,,
INV-H1-000213,213,held_aside,correct,False,False,2113488,2113488,,
INV-H1-000214,214,held_aside,review,False,True,,1083650,,volume_discount_uncertain
INV-H1-000215,215,development,review,False,True,,5373340,,volume_discount_uncertain
INV-H1-000216,216,development,review,False,True,,848096,,volume_discount_uncertain
INV-H1-000217,217,development,review,False,True,,1552154,,volume_discount_uncertain
INV-H1-000218,218,development,review,False,True,,4270306,,volume_discount_uncertain
INV-H1-000219,219,held_aside,erroneous,True,True,,2759133,service_date,delivered_quantity_or_duplicate_identity_uncertain|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H1-000220,220,development,review,False,True,,3949434,,service_match_unresolved|volume_discount_uncertain
INV-H1-000221,221,held_aside,correct,False,False,3481583,3481583,,
INV-H1-000222,222,held_aside,correct,False,False,1394560,1394560,,
INV-H1-000223,223,held_aside,correct,False,False,2992640,2992640,,
INV-H1-000224,224,held_aside,review,False,True,,2144177,,volume_discount_uncertain
INV-H1-000225,225,held_aside,review,False,True,,1912774,,volume_discount_uncertain
INV-H1-000226,226,development,review,False,True,,3052975,,volume_discount_uncertain
INV-H1-000227,227,development,erroneous,True,True,,5492725,daily_cap|invoice_arithmetic|line_amount,service_match_unresolved
INV-H1-000228,228,development,review,False,True,,5703033,,service_match_unresolved
INV-H1-000229,229,held_aside,review,False,True,,3209175,,service_match_unresolved
INV-H1-000230,230,development,review,False,True,,4288169,,volume_discount_uncertain
INV-H1-000231,231,development,erroneous,True,False,1857000,1991725,duplicate_billing|invoice_amount|line_amount,
INV-H1-000232,232,development,correct,False,False,1776500,1776500,,
INV-H1-000233,233,development,correct,False,False,1342604,1342604,,
INV-H1-000234,234,held_aside,review,False,True,,3237598,,volume_discount_uncertain
INV-H1-000235,235,held_aside,review,False,True,,2869701,,volume_discount_uncertain
INV-H1-000236,236,development,erroneous,True,True,,1420000,line_amount|unit_basis|unit_price,contract_quantity_unknown_due_to_unit_mismatch|delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review
INV-H1-000237,237,held_aside,correct,False,False,1737059,1737059,,
INV-H1-000238,238,development,correct,False,False,2497748,2497748,,
INV-H1-000239,239,development,review,False,True,,5281118,,volume_discount_uncertain
INV-H1-000240,240,development,correct,False,False,4511850,4511850,,
INV-H1-000241,241,development,review,False,True,,977296,,volume_discount_uncertain
INV-H1-000242,242,development,correct,False,False,4382326,4382326,,
INV-H1-000243,243,development,correct,False,False,1323865,1323865,,
INV-H1-000244,244,development,correct,False,False,2047736,2047736,,
INV-H1-000245,245,development,correct,False,False,1082990,1082990,,
INV-H1-000246,246,held_aside,review,False,True,,5672351,,volume_discount_uncertain
INV-H1-000247,247,held_aside,correct,False,False,2600025,2600025,,
INV-H1-000248,248,development,review,False,True,,544710,,service_match_unresolved|volume_discount_uncertain
INV-H1-000249,249,development,review,False,True,,3013610,,service_match_unresolved
INV-H1-000250,250,development,correct,False,False,4872236,4872236,,
INV-H1-000251,251,development,correct,False,False,3053898,3053898,,
INV-H1-000252,252,development,review,False,True,,863125,,service_match_unresolved
INV-H1-000253,253,development,review,False,True,,4520236,,service_match_unresolved|volume_discount_uncertain
INV-H1-000254,254,development,review,False,True,,3814367,,service_match_unresolved
INV-H1-000255,255,development,review,False,True,,2420053,,volume_discount_uncertain
INV-H1-000256,256,development,correct,False,False,3513900,3513900,,
INV-H1-000257,257,development,erroneous,True,True,,2641295,line_amount|line_arithmetic|unit_basis,contract_quantity_unknown_due_to_unit_mismatch|delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review
INV-H1-000258,258,development,correct,False,False,1460663,1460663,,
INV-H1-000259,259,development,review,False,True,,3960786,,volume_discount_uncertain
INV-H1-000260,260,development,review,False,True,,2665371,,service_match_unresolved
INV-H1-000261,261,development,review,False,True,,4458808,,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H1-000262,262,development,review,False,True,,4999710,,service_match_unresolved
INV-H1-000263,263,held_aside,correct,False,False,2241675,2241675,,
INV-H1-000264,264,development,correct,False,False,3573037,3573037,,
INV-H1-000265,265,development,review,False,True,,1725938,,volume_discount_uncertain
INV-H1-000266,266,development,correct,False,False,2910707,2910707,,
INV-H1-000267,267,development,correct,False,False,2559275,2559275,,
INV-H1-000268,268,development,review,False,True,,2917243,,service_match_unresolved|volume_discount_uncertain
INV-H1-000269,269,development,review,False,True,,3835498,,service_match_unresolved
INV-H1-000270,270,development,correct,False,False,4244547,4244547,,
INV-H1-000271,271,development,erroneous,True,False,5043791,5139791,invoice_amount|line_amount|unit_price,
INV-H1-000272,272,development,correct,False,False,1597704,1597704,,
INV-H1-000273,273,held_aside,correct,False,False,1306725,1306725,,
INV-H1-000274,274,development,erroneous,True,True,,4830260,service_date,invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H1-000275,275,development,review,False,True,,1307228,,volume_discount_uncertain
INV-H1-000276,276,development,correct,False,False,1799385,1799385,,
INV-H1-000277,277,development,correct,False,False,3327275,3327275,,
INV-H1-000278,278,development,review,False,True,,2961500,,service_match_unresolved
INV-H1-000279,279,development,correct,False,False,6811727,6811727,,
INV-H1-000280,280,development,correct,False,False,610500,610500,,
INV-H1-000281,281,development,erroneous,True,True,,5732823,invoice_arithmetic|line_amount|service_date|unit_price,delivered_quantity_or_duplicate_identity_uncertain|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H1-000282,282,development,review,False,True,,4099094,,service_match_unresolved
INV-H1-000283,283,held_aside,erroneous,True,True,,1881268,contract_number|invoice_arithmetic,volume_discount_uncertain
INV-H1-000284,284,development,correct,False,False,4714099,4714099,,
INV-H1-000285,285,held_aside,review,False,True,,2413988,,service_match_unresolved|volume_discount_uncertain
INV-H1-000286,286,held_aside,review,False,True,,1729332,,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review
INV-H1-000287,287,development,correct,False,False,6027372,6027372,,
INV-H1-000288,288,development,review,False,True,,2537184,,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H1-000289,289,development,review,False,True,,3937921,,volume_discount_uncertain
INV-H1-000290,290,development,correct,False,False,2638495,2638495,,
INV-H1-000291,291,development,correct,False,False,1087125,1087125,,
INV-H1-000292,292,development,review,False,True,,5170138,,service_match_unresolved
INV-H1-000293,293,development,correct,False,False,1998575,1998575,,
INV-H1-000294,294,held_aside,correct,False,False,3254027,3254027,,
INV-H1-000295,295,development,review,False,True,,2470884,,service_match_unresolved
INV-H1-000296,296,development,correct,False,False,1028250,1028250,,
INV-H1-000297,297,development,review,False,True,,3733404,,service_match_unresolved
INV-H1-000298,298,development,review,False,True,,4323122,,service_match_unresolved
INV-H1-000299,299,held_aside,correct,False,False,1765725,1765725,,
INV-H1-000300,300,held_aside,review,False,True,,5214349,,service_match_unresolved
INV-H1-000301,301,development,review,False,True,,3120395,,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H1-000302,302,development,correct,False,False,2047225,2047225,,
INV-H1-000303,303,development,correct,False,False,1755545,1755545,,
INV-H1-000304,304,development,erroneous,True,True,,1878062,line_amount|unit_price,delivered_quantity_or_duplicate_identity_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H1-000305,305,development,correct,False,False,3792595,3792595,,
INV-H1-000306,306,development,review,False,True,,1378286,,volume_discount_uncertain
INV-H1-000307,307,development,review,False,True,,4566413,,service_match_unresolved
INV-H1-000308,308,development,correct,False,False,2262777,2262777,,
INV-H1-000309,309,development,correct,False,False,3586962,3586962,,
