invoice_id,invoice_record_index,decision,known_violation,reasons
INV-H4-000069,69,erroneous,True,expected_total_unknown|hospital_4_duplicate_correction_unspecified
INV-H4-000070,70,review,False,bundle_eligibility_uncertain|exclusion_presence_uncertain|expected_total_unknown|hospital_4_contractual_unit_unresolved|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000071,71,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H4-000073,73,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000073,517,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000074,74,erroneous,True,expected_total_unknown|volume_discount_uncertain
INV-H4-000075,75,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000078,78,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved|volume_discount_uncertain
INV-H4-000079,79,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review
INV-H4-000079,303,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review
INV-H4-000080,80,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H4-000082,82,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000083,83,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000084,84,erroneous,True,expected_total_unknown|hospital_4_duplicate_correction_unspecified
INV-H4-000087,87,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000088,88,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000091,91,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000092,92,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000094,94,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000095,95,erroneous,True,contract_quantity_unknown_due_to_unit_mismatch|delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000096,96,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000097,97,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000099,99,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000101,101,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000103,103,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000105,105,erroneous,True,expected_total_unknown|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H4-000107,107,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000109,109,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000111,111,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000112,112,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000113,113,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000114,114,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000115,115,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved|volume_discount_uncertain
INV-H4-000116,116,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000118,118,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000120,120,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000121,121,erroneous,True,expected_total_unknown|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review
INV-H4-000123,123,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved|volume_discount_uncertain
INV-H4-000124,124,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000125,125,review,False,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000127,127,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000136,136,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000139,139,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000141,141,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000142,142,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000143,143,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000144,144,erroneous,True,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000146,146,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000150,150,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000151,151,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000153,153,erroneous,True,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000155,155,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000157,157,erroneous,True,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000158,158,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000159,159,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000161,161,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000162,162,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000164,164,erroneous,True,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H4-000167,167,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000168,168,erroneous,True,contract_quantity_unknown_due_to_unit_mismatch|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000170,170,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000171,171,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000172,172,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000173,173,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000176,176,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000177,177,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved
INV-H4-000178,178,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000180,180,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000181,181,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000182,182,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000183,183,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000184,184,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000186,186,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved
INV-H4-000187,187,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000190,190,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000192,192,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000193,193,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000195,195,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000196,196,erroneous,True,contract_quantity_unknown_due_to_unit_mismatch|delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000197,197,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000200,200,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000203,203,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000204,204,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000210,210,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000211,211,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved
INV-H4-000212,212,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000217,217,erroneous,True,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved|volume_discount_uncertain
INV-H4-000218,218,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000220,220,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000222,222,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000223,223,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000224,224,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000225,225,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000226,226,erroneous,True,expected_total_unknown|service_match_unresolved
INV-H4-000227,227,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000228,228,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000230,230,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000231,231,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000235,235,erroneous,True,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000238,238,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved|volume_discount_uncertain
INV-H4-000239,239,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000247,247,erroneous,True,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000248,248,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000250,250,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000252,252,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000253,253,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000255,255,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000257,257,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000259,259,erroneous,True,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000260,260,erroneous,True,exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review
INV-H4-000261,261,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000262,262,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000263,263,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000264,264,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|hospital_4_contractual_unit_unresolved|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000264,418,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|hospital_4_contractual_unit_unresolved|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000265,265,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000267,267,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000268,268,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000269,269,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000270,270,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000271,271,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000272,272,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000273,273,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000277,277,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000278,278,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000280,280,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000283,283,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000285,285,review,False,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000287,287,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000289,289,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000291,291,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000293,293,erroneous,True,expected_total_unknown|volume_discount_uncertain
INV-H4-000297,297,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000300,300,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000302,302,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000304,304,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000305,305,review,False,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000307,307,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000309,309,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|hospital_4_duplicate_correction_unspecified|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000311,311,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000318,318,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000319,319,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved
INV-H4-000320,320,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000321,321,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000322,322,review,False,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000324,324,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000325,325,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000327,327,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved
INV-H4-000329,329,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000335,335,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000336,336,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000341,341,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000344,344,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000345,345,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000346,346,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000348,348,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000349,349,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000352,352,review,False,bundle_eligibility_uncertain|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000354,354,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000355,355,erroneous,True,expected_total_unknown|volume_discount_uncertain
INV-H4-000356,356,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000358,358,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000361,361,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000363,363,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000364,364,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000365,365,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000366,366,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000367,367,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H4-000369,369,review,False,bundle_eligibility_uncertain|expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000376,376,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000377,377,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000378,378,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000380,380,review,False,exclusion_presence_uncertain|expected_total_unknown|hospital_4_contractual_unit_unresolved|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000381,381,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000384,384,review,False,bundle_eligibility_uncertain|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000386,386,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H4-000387,387,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved|volume_discount_uncertain
INV-H4-000389,389,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000390,390,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000391,391,erroneous,True,expected_total_unknown|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review
INV-H4-000392,392,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000393,393,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H4-000394,394,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000395,395,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000397,397,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000399,399,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000405,405,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000406,406,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000407,407,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved|volume_discount_uncertain
INV-H4-000408,408,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000409,409,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000410,410,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H4-000411,411,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000413,413,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000414,414,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H4-000415,415,review,False,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000416,416,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000417,417,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000419,419,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000420,420,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000421,421,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000422,422,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000423,423,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000424,424,review,False,exclusion_presence_uncertain|expected_total_unknown|hospital_4_contractual_unit_unresolved|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000426,426,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000428,428,review,False,delivered_quantity_or_duplicate_identity_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|volume_discount_uncertain
INV-H4-000429,429,review,False,bundle_eligibility_uncertain|expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000430,430,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000431,431,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review
INV-H4-000431,839,erroneous,True,bundle_eligibility_uncertain|delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|invalid_date_payability_requires_review|invoice_identifier_join_ambiguous|missing_or_ambiguous_invoice_join|missing_patient_context|nonunique_invoice_id|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review
INV-H4-000432,432,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000435,435,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000437,437,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000438,438,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000441,441,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000442,442,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000445,445,erroneous,True,expected_total_unknown|invalid_date_payability_requires_review|retention_or_payable_quantity_requires_review
INV-H4-000446,446,review,False,expected_total_unknown|volume_discount_uncertain
INV-H4-000448,448,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000450,450,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000452,452,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
INV-H4-000453,453,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000454,454,review,False,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000455,455,review,False,exclusion_presence_uncertain|expected_total_unknown|retention_or_payable_quantity_requires_review
INV-H4-000456,456,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000457,457,review,False,expected_total_unknown|service_match_unresolved
INV-H4-000458,458,review,False,delivered_quantity_or_duplicate_identity_uncertain|exclusion_presence_uncertain|expected_total_unknown|premium_eligibility_uncertain|retention_or_payable_quantity_requires_review|service_match_unresolved
INV-H4-000459,459,review,False,expected_total_unknown|service_match_unresolved|volume_discount_uncertain
INV-H4-000463,463,review,False,expected_total_unknown|hospital_4_contractual_unit_unresolved|service_match_unresolved
